날짜,자치구,동,업종,업종코드,평균매출액,평균배달건수
2023년 12월,강서구,방화1동,일식>회/초밥,I20301,"6,765,773원",234건
2023년 12월,강서구,방화2동,일식>회/초밥,I20301,"4,614,650원",141건
2023년 12월,강서구,가양1동,일식>회/초밥,I20301,"6,444,558원",210건
2023년 12월,강서구,공항동,일식>회/초밥,I20301,"5,110,674원",180건
2023년 12월,강서구,가양2동,일식>회/초밥,I20301,"4,405,256원",195건
2023년 12월,강서구,등촌3동,일식>회/초밥,I20301,"8,843,681원",240건
2023년 12월,강서구,가양3동,일식>회/초밥,I20301,"4,405,256원",195건
2023년 12월,강서구,염창동,일식>회/초밥,I20301,"5,632,544원",201건
2023년 12월,강서구,발산1동,일식>회/초밥,I20301,"5,919,697원",150건
2023년 12월,강서구,우장산동,일식>회/초밥,I20301,"7,756,299원",250건
2023년 12월,강서구,등촌1동,일식>회/초밥,I20301,"8,843,681원",240건
2023년 12월,강서구,화곡6동,일식>회/초밥,I20301,"9,263,578원",319건
2023년 12월,강서구,화곡3동,일식>회/초밥,I20301,"9,263,578원",319건
2023년 12월,강서구,화곡본동,일식>회/초밥,I20301,"9,263,578원",319건
2023년 12월,강서구,등촌2동,일식>회/초밥,I20301,"8,843,681원",240건
2023년 12월,강서구,화곡1동,일식>회/초밥,I20301,"9,263,578원",319건
2023년 12월,강서구,화곡4동,일식>회/초밥,I20301,"9,263,578원",319건
2023년 12월,강서구,화곡8동,일식>회/초밥,I20301,"9,263,578원",319건
2023년 11월,강서구,방화2동,일식>회/초밥,I20301,"3,755,696원",128건
2023년 11월,강서구,방화1동,일식>회/초밥,I20301,"4,669,079원",182건
2023년 11월,강서구,가양1동,일식>회/초밥,I20301,"6,059,701원",223건
2023년 11월,강서구,공항동,일식>회/초밥,I20301,"4,669,079원",182건
2023년 11월,강서구,가양2동,일식>회/초밥,I20301,"4,520,538원",222건
2023년 11월,강서구,등촌3동,일식>회/초밥,I20301,"8,432,376원",267건
2023년 11월,강서구,가양3동,일식>회/초밥,I20301,"4,520,538원",222건
2023년 11월,강서구,염창동,일식>회/초밥,I20301,"4,657,902원",190건
2023년 11월,강서구,발산1동,일식>회/초밥,I20301,"4,628,947원",133건
2023년 11월,강서구,우장산동,일식>회/초밥,I20301,"6,361,455원",224건
2023년 11월,강서구,등촌1동,일식>회/초밥,I20301,"8,432,376원",267건
2023년 11월,강서구,화곡6동,일식>회/초밥,I20301,"7,713,260원",286건
2023년 11월,강서구,화곡3동,일식>회/초밥,I20301,"7,713,260원",286건
2023년 11월,강서구,화곡본동,일식>회/초밥,I20301,"7,713,260원",286건
2023년 11월,강서구,등촌2동,일식>회/초밥,I20301,"8,432,376원",267건
2023년 11월,강서구,화곡1동,일식>회/초밥,I20301,"7,713,260원",286건
2023년 11월,강서구,화곡4동,일식>회/초밥,I20301,"7,713,260원",286건
2023년 11월,강서구,화곡8동,일식>회/초밥,I20301,"7,713,260원",286건
2023년 10월,강서구,방화2동,일식>회/초밥,I20301,"3,506,610원",119건
2023년 10월,강서구,방화1동,일식>회/초밥,I20301,"3,968,972원",154건
2023년 10월,강서구,가양1동,일식>회/초밥,I20301,"5,460,740원",207건
2023년 10월,강서구,공항동,일식>회/초밥,I20301,"3,968,972원",154건
2023년 10월,강서구,가양2동,일식>회/초밥,I20301,"4,161,863원",208건
2023년 10월,강서구,등촌3동,일식>회/초밥,I20301,"7,040,285원",228건
2023년 10월,강서구,가양3동,일식>회/초밥,I20301,"4,161,863원",208건
2023년 10월,강서구,염창동,일식>회/초밥,I20301,"5,126,369원",205건
2023년 10월,강서구,발산1동,일식>회/초밥,I20301,"4,040,363원",125건
2023년 10월,강서구,우장산동,일식>회/초밥,I20301,"6,297,678원",224건
2023년 10월,강서구,등촌1동,일식>회/초밥,I20301,"7,040,285원",228건
2023년 10월,강서구,화곡6동,일식>회/초밥,I20301,"7,820,337원",296건
2023년 10월,강서구,화곡3동,일식>회/초밥,I20301,"7,820,337원",296건
2023년 10월,강서구,화곡본동,일식>회/초밥,I20301,"7,820,337원",296건
